MLHub,Type,Patra,Type,,* required
name,string,ai_model.name*,string,,
model_type,string,,,,
version,string,ai_model.version*,string,,
framework,string,ai_model.framework*,string,,
image,string,,,,
labels,array of string,ai_model.inference_labels,string,,
label_map,Value,,,,
multi_modal,bool,,,,
model_inputs,ModelIO,,,,
model_outputs,ModelIO,,,,
task_types,array of string,category,string,,
inference_precision,string,,,,
inference_hardware,HardwareRequirements,,,,
inference_software_dependencies,array of string,model_requirements,array of string,,
inference_max_energy_consumption_watts,float,,,,
inference_max_latency_ms,float,,,,
inference_min_throughput,float,,,,
inference_max_compute_utilization_percentage,float,,,,
inference_max_memory_usage_mb,float,,,,
inference_distributed,bool,,,,
training_time,float,,,,
training_precision,string,ai_model.test_accuracy*,float,,
training_hardware,HardwareRequirements,,,,
pretraining_datasets,array of string,input_data,URL,,
finetuning_datasets,array of string,,,,
edge_optimized,bool,,,,
quantization_aware,bool,,,,
supports_quantization,bool,,,,
pretrained,bool,,,,
pruned,bool,,,,
slimmed,bool,,,,
training_distributed,bool,,,,
training_max_energy_consumption_watts,float,,,,
regulatory,array of string,,,,
license,string,ai_model.license*,string,,
bias_evaluation_score,float,bias_analysis,object,,
Coverage,27.78%,,,,
,,,,,
Patra,Type,MLHub,Type,,
id,string,,,,
name*,string,name,string,,
version*,string,,,,
short_description*,string,,,,
full_description*,string,,,,
keywords*,string,,,,
author*,string,,,,
citation,string,,,,
input_data,URL,pretraining_datasets,array of string,,
input_type,string,,,,
output_data,URL,,,,
foundational_model,string,,,,
category,string,task_types,array of string,,
documentation,string,,,,
bias_analysis,object,bias_evaluation_score,float,,
xai_analysis,object,,,,
model_requirements,array of string,inference_software_dependencies,array of string,,
ai_model.name*,string,name,string,,
ai_model.version*,string,version,string,,
ai_model.description*,string,,,,
ai_model.owner*,string,,,,
ai_model.location*,string,,,,
ai_model.license*,string,license,string,,
ai_model.model_structure,object,,,,
ai_model.framework*,string,framework,string,,
ai_model.model_type*,string,,,,
ai_model.test_accuracy*,number,training_precision,string,,
ai_model.model_metrics,array of object,,,,
ai_model.inference_labels,string,labels,array of string,,
Coverage,37.93%,,,,
